SYMBOL|SERIES|OPEN|HIGH|LOW|CLOSE|LAST|PREVCLOSE|TOTTRDQTY|TOTTRDVAL|TOTALTRADES
IIFL|N6|1005.00|1005|1005|1005|1005|1019|14|14070|1
IIFL|N7|999.00|999|985|998|998|999|166|164453.1|9
IIFL|NA|1259.99|1259.99|1259.99|1259.99|1259.99|1255|100|125999|1
IIFL|NE|1005.00|1018.99|1005|1010|1010|1010|418|422663.65|14
IIFL|NF|969.00|972.5|969|970.03|970.03|971.83|2635|2558468.85|44
IIFL|NG|952.00|952|952|952|952|952|75|71400|4
IIFL|NH|993.00|993|990|991.71|990|1005|35|34710|3
IIFL|NI|1010.00|1010|1010|1010|1010|1020.6|1|1010|1
IIFL|NL|952.00|953|918|940.25|940|951.99|834|780600.8|28
IIFLSEC|EQ|89.90|90|87.2|87.8|87.5|91.75|275231|24435954.65|3761
IIFLWAM|EQ|1600.00|1629.55|1504.95|1542.6|1619|1609.5|138704|214855821.2|14123
IIHFL|N4|975.00|989.99|960|972|972|970|146|141486.95|8
IIHFL|N5|992.00|992|981|985.95|990|991.99|759|746502.4|12
IIHFL|N6|929.00|980|929|980|980|926|90|85229|5
IIHFL|N7|952.00|952|952|952|952|962|10|9520|2
IIHFL|N9|939.00|939|939|939|939|931|50|46950|3
IIHFL|NC|910.00|920|905|918|918|905.15|209|190555|7
IITL|EQ|68.80|70.3|68.05|68.15|68.05|68.8|1375|93935|33
IL&FSENGG|BZ|16.35|16.35|16.35|16.35|16.35|17.2|4765|77907.75|58
IL&FSTRANS|BZ|3.80|4.1|3.8|4.1|4.1|3.95|141365|574760.1|162
IMAGICAA|EQ|13.90|13.9|12.65|12.95|12.8|13.95|546097|7251020.55|1278
IMFA|EQ|351.00|353.95|339|345|345.2|357|76879|26645346.75|5174
IMPAL|EQ|770.00|770|756.75|759.9|757|770.05|2205|1678002.5|73
IMPEXFERRO|BE|1.35|1.35|1.35|1.35|1.35|1.3|5899|7963.65|9
INCREDIBLE|BE|26.20|26.75|25.2|25.2|25.2|26.5|9238|235944.2|94
INDBANK|EQ|25.05|25.8|24|24.3|24.5|26|138831|3444330.45|1495
INDHOTEL|EQ|200.95|202|193|195.1|194|206.6|5714424|1136118238|44832
INDIACEM|EQ|204.50|207.6|195.85|197.6|197.2|210|5104782|1038447396|33193
INDIAGLYCO|EQ|840.00|863.3|791.45|812.65|805|887|134105|111800348.1|11339
INDIAMART|EQ|4805.00|5097.7|4805|5023.7|5000.05|5046|157808|786006585.3|22459
