SYMBOL|SERIES|OPEN|HIGH|LOW|CLOSE|LAST|PREVCLOSE|TOTTRDQTY|TOTTRDVAL|TOTALTRADES
KITEX|EQ|244.00|248|224.3|231.4|230.85|248.7|503655|120351277.8|14844
KKCL|EQ|193.50|197.1|188.6|192.15|194|210.6|298692|57848281|9843
KMSUGAR|EQ|31.20|32.25|28.55|29.85|29.6|34.35|2258452|69080875.5|10094
KNRCON|EQ|312.00|312.45|295|303.85|298.5|311.7|939512|284843048.9|36635
KOKUYOCMLN|EQ|64.00|64.4|62.95|63.1|63.55|65.1|107844|6854803.3|1332
KOLTEPATIL|EQ|283.00|289|258|275.65|268|293.3|286909|80735568.1|7498
KOPRAN|EQ|283.30|283.6|264|268.95|264.1|287.6|188281|51690296.55|5471
KOTAKALPHA|EQ|33.00|33.51|31.81|32.07|32|33.4|1205260|39757399.17|1372
KOTAKBANK|EQ|1790.05|1823.85|1737.95|1746.85|1742.85|1828.25|3026821|5347499427|218146
KOTAKBKETF|EQ|388.83|396|372.44|373.77|372.5|388.83|133965|50521674.77|1277
KOTAKGOLD|EQ|42.83|43.44|42.82|43.12|43.24|42.5|547674|23560220.72|1639
KOTAKIT|EQ|34.98|34.99|34.03|34.4|34.16|34.94|56030|1939334.17|581
KOTAKMID50|EQ|82.01|82.01|78|79.01|78|82.22|18993|1516884.49|160
KOTAKNIFTY|EQ|179.80|182.5|177.55|177.97|177.63|183.39|132294|23692312.61|1413
KOTAKNV20|EQ|98.99|98.99|95|95.76|95.7|97.94|21065|2029600.74|564
KOTAKPSUBK|EQ|289.00|289|270|274.07|270|289.45|101206|28144959.28|861
KOTARISUG|EQ|36.00|37.1|34.25|35|34.7|37.95|493977|17915504.3|6757
KOTHARIPET|EQ|87.00|91.45|87|88.05|88.45|92.25|171202|15236306.7|5033
KOTHARIPRO|EQ|101.35|105.95|98.45|100.1|99.2|106.15|14769|1518121.35|803
KOTYARK|SM|371.25|371.25|342|365.4|371.15|353.6|70000|25475900|26
KOVAI|EQ|1700.00|1700|1605|1627.35|1621|1691.05|8749|14338703.45|1287
KPIGLOBAL|EQ|441.00|459|435.6|436.65|436.5|458.5|97385|43247411.95|5011
KPITTECH|EQ|545.55|565.5|537.05|539.75|538.5|578.2|2203862|1211191862|123215
KPRMILL|EQ|633.00|644|611.7|638.75|642|644.35|597373|377575481.4|33311
KRBL|EQ|213.90|214|198.05|200.7|199.4|228.25|2166900|444839126.2|49682
KREBSBIO|EQ|144.10|144.1|135|137.6|136.5|144.2|31597|4411472.95|674
KRIDHANINF|BE|5.80|5.8|5.6|5.6|5.6|5.85|88790|497361.6|228
KRISHANA|EQ|237.70|237.7|208|214.25|215.75|216.05|51782|11591958.5|3476
KRITI|EQ|102.00|122|100.55|116.85|112.45|107.1|292557|33478395.6|7895
KRSNAA|EQ|635.00|647.05|626|630.7|628.65|642.7|89544|57036112.6|5711
KSB|EQ|1120.00|1125.05|1082|1089.8|1094.95|1133.75|14704|16130581.75|2660
KSCL|EQ|507.50|522|498.7|512.65|510.5|505.25|186865|96140847.8|8385
KSL|EQ|303.00|313|296.65|300.05|296.65|313.8|36841|11243946.9|1796
KSOLVES|SM|315.00|338.3|315|320.55|319.35|335|25200|8244620|54
KTKBANK|EQ|64.85|64.85|62.1|62.6|62.6|65.8|2049920|129715286.3|11687
KUANTUM|EQ|85.00|85|76.9|77.5|77.45|92.05|478479|38538540.15|6539
L&TFH|EQ|73.00|73|70.2|70.5|70.5|74.15|7599852|542572847.2|40137
L&TFINANCE|NC|1112.00|1116.25|1112|1116.25|1116.25|1125|35|39023.75|3
L&TFINANCE|NG|1195.00|1195|1194.1|1194.1|1194.1|1228|60|71655|2
L&TFINANCE|NK|1050.00|1074|1050|1072|1072|1072|224|237794|5
L&TFINANCE|NM|1271.77|1272|1260|1271.72|1271|1272|399|505682.35|11
L&TFINANCE|NW|1090.00|1090|1080|1085|1085|1100|611|662567|31
L&TFINANCE|NY|1018.05|1020|1018|1020|1020|1020|527|536804.5|13
L&TFINANCE|Y1|1200.00|1200|1200|1200|1200|1185|20|24000|2
L&TFINANCE|Y3|1005.01|1005.01|1000.03|1003.34|1000.05|1010|719|721403.32|21
LAGNAM|EQ|95.10|101.4|93.5|94.45|95.35|101.9|93769|9066729.05|1257
LAKPRE|BZ|7.65|8|7.4|7.9|7.9|7.75|9816|74322.05|21
LALPATHLAB|EQ|2780.00|2807.65|2674.15|2698.85|2680|2837.25|286243|785169828.2|33272
LAMBODHARA|EQ|101.45|102.3|93.5|95.7|95.05|103.5|48679|4715341.55|1079
LAOPALA|EQ|355.10|373.8|342.65|349.75|358|377|268653|95915441.65|12770
LASA|EQ|52.00|52|46|47.25|47|52.1|205967|10142479.4|2726
LATENTVIEW|EQ|481.00|498|480|484.6|484.4|507.9|761425|373033755.7|35080
LAURUSLABS|EQ|542.00|558.4|523.85|528.35|527.15|549.95|3354893|1820783347|47628
LAXMICOT|EQ|27.15|28.7|25.15|26.25|25.55|26.2|38554|1051922.1|308
LAXMIMACH|EQ|10510.10|10960|10500|10710.85|10700|10944.65|17026|183054533.5|5072
LCCINFOTEC|BE|4.35|4.35|4.35|4.35|4.35|4.55|39871|173438.85|250
LEMONTREE|EQ|47.60|50.2|46.65|47.2|47.05|48.25|7209383|352140757.2|32273
LEXUS|SM|34.90|34.9|34.9|34.9|34.9|36.7|3000|104700|3
LFIC|EQ|108.30|113.95|108.3|111.6|111.45|112.8|1229|138335.6|91
LGBBROSLTD|EQ|639.00|646|615.55|624.1|619.2|651.1|110557|70076595.25|8780
LGBFORGE|BE|13.00|13.45|13|13|13|13.65|129312|1688122.45|493
LIBAS|EQ|26.00|30|26|27.7|27.65|28.9|300151|8512744.8|1365
LIBERTSHOE|EQ|153.15|153.15|144|145.9|144|154.65|166911|24892755.25|4627
LICHSGFIN|EQ|381.00|382|356.75|358.6|357.55|390.65|9323114|3402055050|141493
LICNETFGSC|EQ|22.77|22.77|22.1|22.23|22.33|22.27|7357|164334.74|236
LICNETFN50|EQ|185.50|185.5|181|182.56|182.9|185.41|2622|478456.68|170
LICNETFSEN|EQ|625.00|625|605.36|606.21|605.36|622.89|1256|763289.3|82
LICNFNHGP|EQ|182.05|183.4|180.18|180.35|180.69|185.75|5833|1061774.89|107
LIKHITHA|EQ|314.90|327.3|314.9|318.05|317|331.3|37047|11931192|2412
LINC|EQ|294.00|319.5|265|281.25|270|302.85|25158|7367116.65|967
LINCOLN|EQ|320.00|325|310.2|311.7|312.85|331|140423|44425633.3|7221
LINDEINDIA|EQ|2551.55|2606.35|2531.25|2581.2|2600|2619.25|68023|175213181.3|9761
LIQUIDBEES|EQ|1003.20|1003.2|998.35|1000|1000.01|1000|1660753|1660760431|8446
LIQUIDETF|EQ|999.99|1000.01|999.99|999.99|999.99|999.99|27204|27204006.71|70
LODHA|EQ|1230.00|1259.4|1216.8|1223.05|1229|1287.2|102637|127162212|12886
LOKESHMACH|EQ|77.80|77.8|71|72.15|71.95|77.55|132008|9756174|3951
LOTUSEYE|BE|59.00|64|58.1|58.25|60|61.15|12594|742240.2|154
LOVABLE|BE|160.00|161.7|153.5|154.4|155.75|161.45|31711|4919435.35|556
LPDC|BE|9.40|9.45|8.6|9.35|9.45|9|170648|1564963.2|983
LSIL|BE|16.75|16.75|16.75|16.75|16.75|17.6|462994|7755149.5|3687
LT|EQ|1843.25|1846.95|1795|1799|1797|1871.25|2290199|4158794979|157581
LTI|EQ|5800.00|5992.6|5670.1|5885.35|5854|5999.85|394155|2328500350|38347
LTTS|EQ|4400.00|4512.8|4259|4423.2|4434.8|4486|432802|1913489404|39555
LUMAXIND|EQ|1083.00|1090|1053|1071.35|1073|1091.7|10281|11058881.8|1053
LUMAXTECH|EQ|182.00|189.95|168.05|172.85|172.05|185.05|172028|30265706.9|7090
LUPIN|EQ|790.00|791.7|758|761.35|760.3|798.1|2849642|2206683156|102282
LUXIND|EQ|2793.00|2831.7|2690.9|2726.3|2728|2849.4|40252|111956922.6|6825
LXCHEM|EQ|415.00|441.6|415|422.1|422|444.25|1130419|484756107.2|51146
LYKALABS|BE|156.00|162.5|154.25|154.25|154.25|162.35|54338|8493972.25|640
LYPSAGEMS|BE|8.15|8.15|8.15|8.15|8.15|8.55|17937|146186.55|135
M&M|EQ|841.75|845.4|780.7|825.05|821.45|853.65|4202165|3471396005|106397
M&MFIN|EQ|151.00|152.9|148|149.65|149|154.6|7842786|1180334748|32046
M&MFIN|N2|1118.80|1118.8|1118.8|1118.8|1118.8|1116.9|25|27970|1
M&MFIN|N3|1732.10|1732.1|1730|1730.81|1730|1731|155|268307|8
M14RG|MF|15.50|15.5|15.5|15.5|15.5|16.25|4500|69750|21
M15RD|MF|14.99|14.99|14.2|14.2|14.2|15.05|101666|1458903.34|35
MAANALU|EQ|135.00|136.45|120|121.1|121.3|139.2|100391|12579571.5|3065
MACPOWER|EQ|210.55|214.7|193.85|204.25|200|217.8|32267|6599312.2|1360
MADHAV|EQ|52.50|52.5|48.65|51.5|51.55|53.05|20733|1059458.15|257
MADHUCON|BE|8.80|8.8|8.65|8.65|8.65|9.1|62292|540332.85|174
MADRASFERT|EQ|33.00|33.85|31.5|31.95|32|34.95|302969|9972734.2|2412
MAESGETF|EQ|29.39|29.98|28.36|28.41|28.38|29.24|18896|541867.57|279
MAFANG|EQ|50.60|50.6|48.1|48.99|49|50.6|283460|13905845.94|4211
MAFSETF|EQ|18.25|18.25|17.04|17.07|17.05|17.77|265203|4573347.09|902
MAGADSUGAR|EQ|295.20|301.4|275.3|281.45|278|302.65|57740|16762472.35|2770
MAGNUM|EQ|14.80|14.95|14.5|14.5|14.5|15.25|121684|1775124.65|423
MAHABANK|EQ|19.30|19.6|18.8|19|18.95|19.8|3904992|75137727|7305
MAHAPEXLTD|BE|109.00|113.5|102.75|110.4|111.2|108.15|15716|1744729.4|137
MAHASTEEL|EQ|77.20|80.3|77.2|78|77.2|80|18185|1422347.7|433
MAHEPC|EQ|112.95|112.95|106.25|106.5|106.35|111|30915|3328508.5|738
MAHESHWARI|EQ|89.00|89|80.45|81.3|80.6|87.05|45391|3762842|618
MAHICKRA|SM|79.00|79|77.15|77.15|77.15|79.5|4500|351225|3
MAHINDCIE|EQ|191.35|210|191.35|204.5|207.95|211.05|266640|54298242.3|8288
MAHKTECH|EQ|17.75|17.95|17.2|17.84|17.86|18.09|71123|1250626.5|310
MAHLIFE|EQ|317.00|332.45|303|313.1|306.5|310.75|1336213|430942604.3|49158
MAHLOG|EQ|479.00|489|405.1|426.1|435.4|489.45|683001|295106177.7|35636
MAHSCOOTER|EQ|3629.00|3629|3553|3600.55|3611|3649.6|17619|63408912.55|2337
MAHSEAMLES|EQ|526.80|528|511|515.05|513.1|529.9|84935|43942275.4|3791
MAITHANALL|EQ|1144.00|1199.75|1107|1136|1136|1054.75|1104355|1275956970|68167
MALLCOM|EQ|825.00|889.95|799.6|808.5|801.1|887.65|2026|1691903.75|345
MALUPAPER|EQ|31.00|31.95|30.65|30.9|30.75|32.15|18251|570458.25|252
MAMFGETF|EQ|80.19|80.19|77.02|77.21|77.07|79.98|15105|1177734.11|309
MAN50ETF|EQ|179.39|180.49|171|174.01|173.86|179.39|23282|4082599.95|379
MANAKALUCO|BE|24.90|25.75|23.75|23.75|23.75|24.95|79074|1894450.65|464
MANAKCOAT|BE|29.95|29.95|29.95|29.95|29.95|31.5|23108|692084.6|348
MANAKSIA|EQ|73.00|74|69.05|69.9|70.1|74.25|99230|7087639.25|1669
MANAKSTEEL|EQ|40.10|41.85|39.45|40.4|40|41.8|82721|3341585.05|718
MANALIPETC|EQ|111.80|113.4|106.65|107.6|107.4|114.05|475374|51675875.2|5416
MANAPPURAM|EQ|150.00|151.5|142.2|142.9|142.5|152.75|8257911|1214428978|51035
MANGALAM|EQ|117.10|123.85|117|119.05|117.5|124.1|25786|3102824.35|734
MANGCHEFER|EQ|77.10|78|72.1|73.2|73.4|78.2|231562|17450222|2434
MANGLMCEM|EQ|361.00|362.5|352.1|357.45|357|374.9|49573|17743043.5|1785
MANINDS|EQ|100.00|100.05|94|94.75|94|101.15|280939|27099108.6|5147
MANINFRA|EQ|118.00|121.7|111.15|112.35|112.05|124.35|1251333|146482213.4|17413
MANORG|EQ|901.00|975|899.95|920.15|915|1066|88840|82045181.1|7492
MANUGRAPH|EQ|18.75|18.75|17.15|17.15|17.15|18.05|11924|206135.05|75
MANXT50|EQ|419.99|419.99|400.42|401.84|400.42|416.08|8851|3592231.33|251
MAPMYINDIA|EQ|1440.00|1450.95|1390|1404.2|1391|1473.85|270466|386331690.6|23068
MARALOVER|EQ|103.05|104.6|100.25|100.25|100.25|105.5|65037|6600073.6|660
MARATHON|EQ|111.50|111.5|103.9|104.9|104.55|108.15|66073|7070261.9|1297
MARICO|EQ|490.00|498.4|486.6|489.8|489.5|499.3|1001194|492970973.4|30982
MARINE|BE|35.00|35.3|33.85|34|34|35.55|253536|8680437.15|2123
MARKSANS|EQ|52.60|53.25|50.25|50.7|50.8|53.8|1554079|80587957.75|12939
MARSHALL|BE|48.50|50|47.75|48|48|50.25|16880|813507.9|121
MARUTI|EQ|8500.00|8615.05|8325|8366.4|8361|8737.15|995540|8404170768|105940
MASFIN|EQ|616.95|616.95|561.2|572.55|573.8|618.85|119632|70886081.6|6894
MASKINVEST|BE|36.75|36.75|33.8|36.5|36.5|35|325|11905.3|13
MASPTOP50|EQ|30.13|30.13|27.84|28.5|28.5|28.95|58576|1680038.73|595
MASTEK|EQ|2500.00|2660|2500|2549.35|2605|2683.9|86304|221407665.2|16216
MATRIMONY|EQ|767.90|811.1|740.15|752.9|757.25|795.65|15229|11836390.25|2223
MAWANASUG|EQ|94.00|101|87.3|89.15|88.25|97.55|885370|84808812|12356
MAXHEALTH|EQ|368.45|372.4|352|362.6|361.55|368.45|1641931|595087645.1|46438
MAXIND|EQ|76.75|77.5|75.8|75.95|75.9|77.5|227363|17402683.65|798
MAXVIL|EQ|113.40|114|109.2|110.15|110.65|113.5|125641|13940235.05|2533
MAYURUNIQ|EQ|477.20|480|465|473.85|473.2|478.85|68859|32679211.45|10091
MAZDA|EQ|579.95|579.95|558.9|562.85|561|583.05|3664|2078666.75|372
MAZDOCK|EQ|267.90|267.9|255|255.4|255.25|262.4|360691|94036420.65|11537
MBAPL|EQ|260.00|261|242|247.45|250|268.55|40391|10224938.9|1146
MBECL|BE|7.25|7.25|6.8|6.85|6.85|7.15|543737|3786078|782
MBLINFRA|EQ|33.45|33.45|31.85|31.85|31.85|33.5|143375|4619531.4|705
MC2RG|MF|13.22|13.22|13.22|13.22|13.22|13.22|849|11223.78|1
MCDHOLDING|BZ|116.10|118.45|110|112.55|112|115.1|13867|1576730.6|234
MCDOWELL-N|EQ|830.00|834.8|808.05|813.6|811|844.3|1479218|1212393256|45917
MCL|EQ|31.90|32.5|31.1|31.65|31.1|32.55|33534|1060557.65|444
MCLEODRUSS|EQ|25.90|26.95|24.3|25|24.75|26.7|836671|21443656.05|2218
MCX|EQ|1389.00|1415|1362.05|1373.45|1364.4|1410.7|386143|536205498.3|31465
MEDICAMEQ|EQ|721.00|738|655.6|684.85|674|738.8|16713|11808405.55|2055
MEDPLUS|EQ|1125.00|1129.65|1060.2|1074|1064.9|1148.55|106853|117283604.2|12043
MEGASOFT|BE|56.35|58.2|56.25|56.25|56.25|59.2|156098|8804228.15|745
MELSTAR|BZ|4.70|4.8|4.7|4.8|4.8|4.8|1000|4720|2
MENONBE|EQ|85.10|88.5|83.1|84.15|83.5|89.65|131448|11270054.7|2563
MEP|EQ|26.45|26.45|25.75|25.75|25.75|27.1|266978|6889988|488
MERCATOR|BE|2.70|2.75|2.7|2.7|2.7|2.8|215936|583032.65|526
METALFORGE|BZ|6.30|6.5|6.3|6.3|6.3|6.6|14295|90904.9|107
METROBRAND|EQ|565.25|589.75|550.1|559.6|555.25|578.7|250995|142557294.8|10914
METROPOLIS|EQ|2259.00|2297.95|1938.6|2051.3|2040|2421.65|2035126|4250422581|126620
MFL|EQ|822.50|834.8|801|805.9|810|842.95|82774|67524923|4754
MFSL|EQ|850.00|852.45|818.1|826.5|821|861.05|391509|324612480.2|21359
MGEL|EQ|159.50|159.5|146.4|146.9|148|154.1|156826|23740132.45|860
MGL|EQ|795.00|805.75|763.65|786.15|787.3|798.9|733310|578926548.7|28272
MHHL|SM|29.50|29.5|29|29|29|30.1|12000|351000|4
MHLXMIRU|EQ|139.50|149.35|135.25|149.35|149.35|142.25|329034|47937071.8|4370
MHRIL|EQ|202.00|204|197.1|198.05|199.9|206.05|207403|41523979.55|6019
MICEL|BE|20.45|20.45|20.45|20.45|20.45|19.5|57802|1182050.9|200
MIDHANI|EQ|182.85|182.85|178|178.85|179.3|184.7|217406|39210299.45|9580
MINDACORP|EQ|190.00|191.85|176.2|181.35|180.1|196.55|683851|127709446.1|11928
MINDAIND|EQ|955.00|984.65|931|962.4|958|1003|631494|605607456|47536
MINDPOOL|SM|22.20|22.2|22.2|22.2|22.2|21.15|4000|88800|1
MINDSPACE|RR|361.00|362|354.01|358.08|358.9|361.57|124373|44629876.07|1851
MINDTECK|BE|161.60|166|161.5|161.5|161.5|170|18953|3061343.7|344
MINDTREE|EQ|3701.50|3835.95|3655.8|3776.45|3765.95|3869.65|662936|2508090707|58413
MIRCELECTR|EQ|25.20|26.2|25.15|25.15|25.15|26.45|460753|11598200.55|728
MIRZAINT|EQ|141.55|156.45|138.85|146.7|147.55|132.55|4734369|708861373.8|85405
MITCON|SM|131.00|131.25|128|131.1|131|125|246000|32206300|113
MITTAL|BE|16.55|17.35|15.75|15.75|15.75|16.55|51470|822968.7|378
MMFL|EQ|744.90|793.7|713.3|752.7|748|748.55|85254|65027355.1|5681
MMP|EQ|161.00|164|158|160|158.05|166.45|23389|3752516.55|534
MMTC|EQ|49.40|49.6|46.5|47.05|46.85|50.75|4333685|209977918.8|16715
MODIRUBBER|BE|73.50|74.95|71.25|71.5|71.25|74.95|1844|133266.9|63
MODISNME|EQ|79.90|82.3|74.1|75.85|75|84.7|227567|17973469.15|4172
MOGSEC|EQ|49.65|49.88|49.12|49.71|49.8|49.65|4398|217899.47|120
MOHITIND|EQ|20.95|20.95|18.55|19.05|18.55|20.6|74486|1462997.95|465
MOHOTAIND|BE|6.75|7.4|6.7|6.7|6.7|7.05|73394|498644.45|93
MOIL|EQ|182.00|184.9|175|176.05|175.3|186.15|827268|149248892.6|17437
MOKSH|EQ|23.55|23.7|23.15|23.15|23.15|24.35|214860|4979934.55|1106
MOL|EQ|99.50|101.5|96.8|97.7|97.25|102.75|842028|83859420.9|9320
MOLDTECH|EQ|78.00|78|73.5|74.15|73.8|78.6|43623|3297191.9|887
MOLDTKPAC|EQ|710.00|718|700|709.85|710|725.4|65294|46302361.4|5987
MOLDTKPAC|W1|541.35|559.65|456.05|531.85|534.95|541.35|277|137655.1|24
MOM100|EQ|31.50|31.79|30.29|30.37|30.38|31.61|253991|7794849.32|7717
MOM50|EQ|174.49|174.49|167.21|167.8|167.51|172.91|4376|739479.15|224
MON100|EQ|107.90|107.9|105.1|106.68|106.9|108.76|880987|93978362.17|12615
MONARCH|EQ|145.00|154.45|142|151.95|153.1|147.7|11867|1768855.7|241
MONQ50|EQ|59.00|59|56.33|57.37|58.49|58.75|12408|713337.6|323
MONTECARLO|EQ|545.00|547.65|515.1|517.5|517.55|558.4|60909|32042368.4|3652
MORARJEE|BE|24.70|25.35|23.75|23.8|23.75|24.95|11562|277714.1|85
MOREPENLAB|EQ|43.65|44|41.7|42.15|41.8|45.35|2404692|103607083.1|14297
MOTHERSUMI|EQ|166.35|174.75|166.2|168.1|168.6|172.15|9248630|1581583448|88245
MOTILALOFS|BL|905.70|905.7|905.7|905.7|905.7|601|670000|606819000|2
MOTILALOFS|EQ|862.20|908.8|862.2|901.2|900|905.7|177547|158958253.8|15923
MOTOGENFIN|BE|25.05|27.45|24.95|25.05|25.05|26.25|2833|71399.7|34
MPHASIS|EQ|2905.00|2988.65|2883|2899.95|2894.45|3001.55|475833|1402907300|34938
MPSLTD|EQ|641.10|654|630|643.15|636|641.1|73794|47337460.25|1405
MRF|EQ|67866.00|67866|65708|65929|65985.6|68233.45|18628|1235602775|8787
MRO-TEK|EQ|59.00|59|53.55|54|54.9|58.8|52083|2921801.6|247
MRPL|EQ|45.05|45.4|41.1|41.95|42|46|1692371|73113429.65|8141
MSPL|EQ|11.80|12.15|11.45|11.55|11.5|13.1|2179900|25674261.1|5018
MSTCLTD|EQ|340.10|348|325|330.65|329.7|331|845825|286773405.6|21408
MTARTECH|EQ|1990.00|1991.95|1870|1892.1|1873.5|1996.65|99517|190873868.1|19968
MTEDUCARE|EQ|10.05|10.35|9.9|9.9|9.9|10.4|222993|2223691.85|540
MTNL|EQ|25.90|25.9|24.3|24.45|24.4|26.3|1851378|46627579.8|5240
MUKANDENGG|BE|27.95|27.95|27.95|27.95|27.95|26.65|3233|90362.35|20
MUKANDLTD|EQ|123.00|138|122.2|129.25|127.95|125.75|220746|29197864.35|4997
MUKTAARTS|EQ|43.25|44.9|42.9|43.45|42.9|45.1|30033|1315166|255
MUNJALAU|EQ|50.10|51.35|47.75|48.4|48.85|51.3|160559|7902581.45|2091
MUNJALSHOW|EQ|119.40|119.4|110.1|111.45|110.8|119.4|83464|9576964.5|2431
MURUDCERA|EQ|29.10|29.1|25.7|26|26.1|29.85|242542|6584800.8|1405
MUTHOOTCAP|EQ|323.00|330|318.4|320.1|323.7|334.9|15948|5155594.95|916
MUTHOOTFIN|EQ|1360.00|1393.95|1350|1355.2|1357.45|1424.15|2111735|2897663997|63228
NABARD|N2|1278.00|1278|1276.01|1276.1|1276.01|1277|1849|2362082.47|13
NACLIND|EQ|85.00|85.4|82.3|82.9|82.5|87.15|154882|13023112.35|2918
NAGAFERT|EQ|12.50|12.95|11.95|11.95|11.95|13.25|2274050|27579034.1|2616
NAGREEKCAP|EQ|12.90|13.85|12.9|13.3|12.9|13.55|35505|460652.7|97
NAGREEKEXP|EQ|47.70|47.7|41.9|42|41.9|46.55|58664|2502701|517
NAHARCAP|EQ|518.70|530|463.6|475.9|474.75|524.6|55147|27122613.05|3165
NAHARINDUS|EQ|175.00|178|161.2|164.9|162.95|181.45|133736|22880783.7|2538
NAHARPOLY|EQ|423.50|426|376.35|408.75|406|434.55|115271|47533033.6|6556
NAHARSPING|BE|570.20|570.2|563.9|563.9|563.9|593.55|23082|13028374.35|512
NAM-INDIA|EQ|321.00|322.8|315.05|318|317.3|330.75|861790|275856783.8|10974
NARMADA|SM|14.00|14|14|14|14|13.8|14400|201600|2
NATCOPHARM|EQ|904.15|929|897.95|917.4|915.7|922.65|186284|170932246.6|11259
NATHBIOGEN|EQ|238.00|240.05|230|232.5|230|243.7|63975|15068359.95|1927
NATIONALUM|EQ|120.00|123.45|118.8|119.3|118.95|122.5|24080150|2919197393|64934
NATNLSTEEL|BE|5.60|5.6|5.6|5.6|5.6|5.85|1000|5600|4
NAUKRI|EQ|4397.00|4569.25|4302.5|4511.4|4500.05|4595.65|381197|1716352748|48096
NAVINFLUOR|EQ|3802.65|3872.5|3700.8|3714.1|3705.75|3937.7|117289|443633615|17283
NAVKARCORP|EQ|40.15|40.2|35.15|35.75|35.35|41|1630790|61332507.05|12057
NAVNETEDUL|EQ|88.25|88.55|85.25|85.85|86.8|89.1|318320|27673890.65|11729
NAZARA|EQ|1920.00|1978|1821.3|1884.05|1888|1998.15|101972|194043807.9|12977
NBCC|EQ|44.20|44.5|41.85|42.3|42.15|44.8|5884591|254135420|20663
NBIFIN|EQ|2142.30|2299.1|2142.25|2227.45|2179.45|2180.75|119|264816.65|50
NBVENTURES|EQ|130.05|133.9|124|125.85|124.6|136.25|987473|128423592.9|18604
NCC|EQ|69.90|69.9|65.95|67|67|70.45|4358116|294300311|38287
NCLIND|EQ|181.00|191.95|175.1|177.85|179.7|191.9|377168|68167081.3|6570
NCPSESDL24|EQ|107.85|108|107.85|107.88|107.9|107.93|4783|515873.34|23
NDGL|EQ|1237.65|1355|1237|1312.65|1310.05|1365|124|161858.5|44
NDL|EQ|146.00|146|140.9|140.9|140.9|148.3|136243|19367240.7|1275
NDRAUTO|EQ|413.00|425.2|406.05|409.65|406.05|421.2|15506|6477601.8|808
NDTV|EQ|158.50|177.3|147.65|174.3|172|161.2|3358604|575657107.3|55120
NECCLTD|EQ|20.50|22.2|19.6|20.65|20.3|21.1|282118|5922549.65|1491
NECLIFE|EQ|30.90|31.2|29.65|30|29.7|31.75|378040|11524427.55|3025
NELCAST|EQ|80.05|81.05|79.1|79.15|79.5|80.05|137729|10934855.3|1324
NELCO|BE|720.00|726|700.8|703.6|701.2|737.65|39494|28078580.6|2099
NEOGEN|EQ|1333.70|1529.95|1333.7|1444.35|1461.75|1547.85|67984|99500049.6|15849
NESCO|EQ|552.80|569.35|538.5|546.7|544.9|563.5|32053|17862335.8|2906
NESTLEIND|EQ|17716.00|17800.25|17429.8|17670.25|17628.7|17815.2|42917|757260710.8|18305
NETF|EQ|182.99|182.99|175.14|177.64|175.14|181.06|7676|1363050.64|179
NETFAUTO|EQ|116.79|116.79|111.05|111.26|111.19|115.84|72674|8192095.57|1018
NETFCONSUM|EQ|74.94|76.35|72.95|73.09|73|74.84|14725|1083902.91|411
NETFDIVOPP|EQ|46.00|46|44.07|44.58|44.51|45.09|5999|268418.43|157
NETFGILT5Y|EQ|49.82|49.9|49.6|49.86|49.9|49.79|76509|3808707.65|304
NETFIT|EQ|35.90|35.9|34.55|34.73|34.74|35.23|2415009|84494000.32|10198
NETFLTGILT|EQ|22.43|22.48|22.12|22.33|22.33|22.27|45025|1004592.24|172
NETFMID150|EQ|112.45|115.95|109.25|109.6|109.35|113.95|401757|44493108.3|4431
NETFNIF100|EQ|182.99|182.99|176.47|176.63|176.47|182.22|10676|1901470.97|284
NETFNV20|EQ|98.00|98.64|96.1|96.64|96.45|98.64|14289|1391345.69|273
NETFPHARMA|EQ|13.50|13.54|13.3|13.32|13.3|13.58|221661|2973058.65|1283
NETFSDL26|EQ|107.43|107.5|107.32|107.42|107.42|107.59|5714|614219.4|33
NETFSILVER|EQ|62.40|66.4|62.4|64.09|64.19|62.36|755940|48323959.75|831
NETWORK18|EQ|89.80|90.95|86.9|86.9|86.9|91.45|1211722|107528250.6|7202
NEULANDLAB|EQ|1120.00|1175|1080.25|1135.6|1143|1126.75|64109|72703980.85|9520
NEWGEN|EQ|539.00|545|520|527.35|530|558.4|115517|61820055.1|11548
NEXTMEDIA|BE|7.15|7.35|7.15|7.15|7.15|7.5|7285|52815.35|24
NFL|EQ|53.30|53.3|50|50.35|50.2|53.7|623575|32075910.35|6475
NGIL|BE|229.95|236.7|218|234.9|236.7|225.45|22880|5331733.4|167
NH|EQ|658.85|658.85|630|644.5|650|646.85|245173|158872332.4|9227
NHAI|N2|1215.00|1217|1214|1216.99|1217|1215|10722|13030856.2|59
NHAI|N4|1200.00|1200|1200|1200|1200|1228|50|60000|1
NHAI|N6|1434.89|1434.89|1380|1380.4|1380|1390|252|347969.78|4
NHAI|NA|1279.99|1281|1279.99|1280|1280|1277|2325|2976273.65|24
NHAI|NC|1129.00|1129|1129|1129|1129|1130|20|22580|1
NHAI|ND|1250.00|1250|1250|1250|1250|1250|16|20000|4
NHAI|NE|1254.00|1254|1252|1252|1252|1255.4|1480|1855460.5|8
NHBTF2014|N6|6965.00|6990|6965|6970.92|6970|6965|299|2085584|11
NHBTF2023|N5|5696.51|5696.51|5696.5|5696.5|5696.5|5696|96|546864.1|2
NHBTF2023|N6|6640.00|6640|6640|6640|6640|6632|191|1268240|1
NHPC|EQ|29.00|29.85|28.7|29.45|29.5|29.3|5479007|160675992|13978
